Average Metrics Across Folds:
Epoch	AvgTrainLoss	AvgTestLoss	AvgHR@5	AvgNDCG@5	AvgHR@10	AvgNDCG@10
10	0.6268	0.8437	0.0655	0.0453	0.1247	0.0621
20	0.5735	0.8203	0.0894	0.0638	0.1549	0.0825
30	0.6898	0.8183	0.0904	0.0626	0.1649	0.0838
40	0.5780	0.8218	0.0979	0.0699	0.1697	0.0904
50	0.6259	0.8304	0.0909	0.0629	0.1738	0.0865
60	0.6369	0.8259	0.0734	0.0494	0.1642	0.0751
70	0.5672	0.7939	0.1112	0.0792	0.1997	0.1045
80	0.6217	0.7957	0.1080	0.0753	0.1963	0.1005
90	0.6807	0.7810	0.1140	0.0813	0.2111	0.1087
100	0.6480	0.7582	0.1291	0.0926	0.2200	0.1186
