Average Metrics Across Folds:
Epoch	AvgTrainLoss	AvgTestLoss	AvgHR@5	AvgNDCG@5	AvgHR@10	AvgNDCG@10
10	0.0744	0.0911	0.4935	0.3634	0.6492	0.4136
20	0.0594	0.0717	0.5129	0.3781	0.6750	0.4300
30	0.0484	0.0571	0.5396	0.3850	0.7013	0.4370
40	0.0382	0.0445	0.5222	0.3804	0.7026	0.4385
50	0.0296	0.0343	0.5180	0.3722	0.6884	0.4270
60	0.0229	0.0247	0.5195	0.3812	0.6952	0.4375
70	0.0173	0.0182	0.5666	0.3993	0.7586	0.4615
80	0.0140	0.0139	0.5863	0.3988	0.7727	0.4592
90	0.0106	0.0100	0.5892	0.3821	0.8142	0.4552
100	0.0067	0.0065	0.6452	0.4010	0.8624	0.4716
