Fold 5 Metrics:
Epoch	TrainLoss	ValLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.5568	0.5333	0.5373	0.7146	0.5892	0.8248	0.6241
20	0.4353	0.4233	0.4236	0.6713	0.5640	0.7815	0.5992
30	0.3684	0.3492	0.3549	0.6575	0.5573	0.7618	0.5905
40	0.3232	0.3124	0.3095	0.6476	0.5527	0.7480	0.5843
50	0.2882	0.2841	0.2726	0.6437	0.5566	0.7362	0.5858
60	0.2615	0.2538	0.2607	0.6378	0.5525	0.7244	0.5799
70	0.2444	0.2441	0.2355	0.6319	0.5482	0.7283	0.5788
80	0.2274	0.2207	0.2139	0.6358	0.5488	0.7303	0.5788
90	0.2132	0.2092	0.2065	0.6437	0.5523	0.7126	0.5739
100	0.2008	0.2031	0.1947	0.6339	0.5475	0.7165	0.5738
