Fold 7 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1300	0.1346	0.5721	0.4759	0.6799	0.5117
20	0.0912	0.0941	0.5937	0.4769	0.6932	0.5088
30	0.0796	0.0781	0.5970	0.4875	0.6949	0.5186
40	0.0721	0.0729	0.5987	0.4726	0.7048	0.5066
50	0.0694	0.0691	0.5904	0.4699	0.7048	0.5065
60	0.0677	0.0667	0.5638	0.4643	0.6783	0.5010
70	0.0634	0.0652	0.5622	0.4424	0.6866	0.4827
80	0.0610	0.0580	0.6136	0.4843	0.7214	0.5189
90	0.0601	0.0514	0.5522	0.4480	0.6783	0.4885
100	0.0551	0.0578	0.5589	0.4396	0.6584	0.4709
