Detailed fold metrics (tuning mode, fold 1):
Fold 1 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.0698	0.0612	0.6656	0.5228	0.7798	0.5591
20	0.0505	0.0483	0.6507	0.5125	0.7368	0.5403
30	0.0360	0.0324	0.5861	0.4544	0.7219	0.4979
40	0.0244	0.0245	0.4752	0.3606	0.5993	0.4002
50	0.0174	0.0162	0.4536	0.3737	0.5679	0.4097
60	0.0133	0.0132	0.6308	0.4822	0.7550	0.5217
70	0.0069	0.0060	0.5911	0.4244	0.7450	0.4729
80	0.0033	0.0032	0.5298	0.3538	0.7632	0.4300
90	0.0001	0.0001	0.8576	0.5828	0.9619	0.6162
100	0.0000	0.0000	0.8576	0.5713	0.9619	0.6049
