Fold p2 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.2445	0.3306	0.6565	0.4953	0.8220	0.5482
20	0.1897	0.2404	0.6548	0.4835	0.8435	0.5438
30	0.1491	0.2040	0.6440	0.4802	0.8022	0.5315
40	0.1165	0.1565	0.6142	0.4504	0.7773	0.5020
50	0.0867	0.1237	0.6705	0.5136	0.8336	0.5665
60	0.0666	0.0895	0.7243	0.5356	0.8767	0.5852
70	0.0464	0.0627	0.6879	0.5143	0.8667	0.5729
80	0.0313	0.0422	0.7310	0.5264	0.8957	0.5805
90	0.0192	0.0289	0.5844	0.4078	0.8709	0.5011
100	0.0108	0.0176	0.4901	0.2818	0.8858	0.4062
