Average Metrics Across Folds:
Epoch	AvgTrainLoss	AvgTestLoss	AvgHR@5	AvgNDCG@5	AvgHR@10	AvgNDCG@10
10	0.3244	0.4438	0.3836	0.3085	0.4429	0.3276
20	0.1980	0.3489	0.5440	0.4608	0.6083	0.4817
30	0.1478	0.2981	0.6268	0.5435	0.6849	0.5624
40	0.1181	0.2686	0.6763	0.5927	0.7310	0.6105
50	0.1117	0.2483	0.6950	0.6115	0.7429	0.6270
60	0.0856	0.2280	0.7207	0.6410	0.7639	0.6552
70	0.0612	0.2164	0.7384	0.6578	0.7775	0.6706
80	0.0689	0.2043	0.7586	0.6834	0.7937	0.6948
90	0.0614	0.1967	0.7626	0.6892	0.8028	0.7023
100	0.0549	0.1925	0.7707	0.7036	0.8035	0.7143
