Fold 6 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1948	0.3145	0.5828	0.5125	0.6291	0.5276
20	0.1104	0.2570	0.7003	0.6422	0.7351	0.6533
30	0.0658	0.2293	0.7500	0.6857	0.7748	0.6934
40	0.0813	0.2178	0.7732	0.7200	0.7947	0.7270
50	0.0596	0.2102	0.7566	0.7003	0.7897	0.7111
60	0.0331	0.1963	0.7765	0.7276	0.8113	0.7391
70	0.0584	0.1783	0.7947	0.7512	0.8278	0.7620
80	0.0204	0.1694	0.8079	0.7644	0.8377	0.7740
90	0.0156	0.1678	0.8228	0.7849	0.8427	0.7914
100	0.0383	0.1671	0.8344	0.7950	0.8526	0.8009
