Fold 9 Metrics:
Epoch	TrainLoss	ValLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.9490	0.9847	1.0991	0.0592	0.0444	0.0868	0.0529
20	0.7324	0.6952	0.9429	0.1913	0.1563	0.2387	0.1716
30	0.6241	0.5363	0.8181	0.3412	0.2727	0.4004	0.2918
40	0.5400	0.4224	0.7212	0.4359	0.3590	0.5010	0.3801
50	0.4600	0.4288	0.7082	0.4221	0.3478	0.4990	0.3731
60	0.5184	0.4464	0.6829	0.4477	0.3619	0.5187	0.3855
70	0.5398	0.4388	0.7431	0.3708	0.2951	0.4398	0.3172
80	0.5065	0.4852	0.7451	0.3333	0.2756	0.4004	0.2974
90	0.5854	0.4814	0.7564	0.3215	0.2530	0.3945	0.2767
100	0.5107	0.5065	0.7538	0.3195	0.2565	0.3964	0.2816
