Detailed fold metrics (tuning mode, fold 1):
Fold 4 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.3070	0.4695	0.5281	0.4759	0.5662	0.4882
20	0.1130	0.3316	0.7566	0.6954	0.7947	0.7080
30	0.0319	0.2832	0.7831	0.7317	0.8129	0.7416
40	0.0287	0.2591	0.7881	0.7611	0.8030	0.7661
50	0.0293	0.2479	0.8030	0.7690	0.8195	0.7744
60	0.0322	0.2469	0.7947	0.7544	0.8212	0.7631
70	0.0605	0.2471	0.7864	0.7506	0.8046	0.7567
80	0.0464	0.2381	0.7914	0.7535	0.8129	0.7606
90	0.0411	0.2432	0.7864	0.7488	0.8030	0.7543
100	0.0554	0.2485	0.7682	0.7197	0.8030	0.7312
