Fold p1 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.2763	0.3158	0.5588	0.4649	0.6962	0.5037
20	0.1519	0.2169	0.7252	0.6330	0.8303	0.6646
30	0.0811	0.1744	0.7964	0.7186	0.8717	0.7412
40	0.0647	0.1433	0.8336	0.7583	0.8825	0.7731
50	0.0569	0.1378	0.8361	0.7661	0.8882	0.7818
60	0.0530	0.1293	0.8386	0.7672	0.8874	0.7818
70	0.0312	0.1216	0.8560	0.7915	0.8982	0.8042
80	0.0360	0.1210	0.8593	0.7994	0.8974	0.8105
90	0.0504	0.1069	0.8758	0.8192	0.8990	0.8261
100	0.0349	0.1030	0.8733	0.8245	0.9031	0.8333
